OBS,Latitude,Longitude,july_min,jan_max,prec,evap,soil,wind
LKA99103003,-34.025,19.61916667,1.57,36.73,458.79,0.16,0.45,3.73
LKA99110401,-33.6905,19.10216667,0.23,36.51,527.34,0.21,0.47,3.48
OUT97112905,-33.86333333,23.6895,8.42,29.69,390.23,0.17,0.44,2.8
OUT98012402,-33.961,21.2635,2.65,37.4,326.95,0.03,0.41,4.69
LKA99110906,-34.3865,19.33716667,6.87,29.51,363.87,0.14,0.41,3.67
TLEY0010901,-34.44016667,19.66716667,6.87,29.51,363.87,0.14,0.41,3.67
SASY0010901,-34.43466667,19.66616667,6.87,29.51,363.87,0.14,0.41,3.67
TLE97110205,-34.3415,18.92933333,10.17,24.48,474.61,0.22,0.42,3.61
TLE99010503,-34.34466667,18.92816667,10.17,24.48,474.61,0.22,0.42,3.61
TLE99121804,-34.34316667,18.92933333,10.17,24.48,474.61,0.22,0.42,3.61
OUTY0080501,-33.92566667,22.5875,7.26,30.83,348.05,0.08,0.43,2.07
WIJY0101407,-34.3025,18.89333333,10.17,24.48,474.61,0.22,0.42,3.61
WIJY0102206,-34.36833333,20.55083333,8.98,29.13,237.3,0.02,0.37,4.33
WIJY0102806,-33.00166667,19.11,-1.39,35.69,564.26,0.2,0.49,3.73
WIJY0103002,-33.01366667,19.09266667,-1.39,35.69,564.26,0.2,0.49,3.73
JIDY0101407,-34.31433333,18.90266667,10.17,24.48,474.61,0.22,0.42,3.61
TLE97100405,-34.32166667,19.00816667,10.17,24.48,474.61,0.22,0.42,3.61
PINY1010803,-33.95633333,20.865,2.62,36.51,290.04,0.03,0.41,4.58
TLE97092708,-34.04116667,18.8765,6.06,33.55,506.25,0.19,0.45,3.49
TLE98091908,-34.09633333,18.44216667,6.06,33.55,506.25,0.19,0.45,3.49
TLE99051602,-34.00216667,18.406,11.12,25.9,374.41,0.22,0.34,3.64
WIJY0121703,-34.22883333,18.91083333,6.06,33.55,506.25,0.19,0.45,3.49
PINY0121302,-33.81533333,22.95166667,6.64,31.46,369.14,0.1,0.43,1.43
SASY0121702,-34.22116667,18.90216667,6.06,33.55,506.25,0.19,0.45,3.49
SASY0121704,-34.2265,18.91883333,6.06,33.55,506.25,0.19,0.45,3.49
SASY0121705,-34.23016667,18.928,6.06,33.55,506.25,0.19,0.45,3.49
TLEY1033105,-34.05716667,18.39066667,11.12,25.9,374.41,0.22,0.34,3.64
LKAY0111901,-33.98016667,21.29133333,2.65,37.4,326.95,0.03,0.41,4.69
AMMY3103105,-33.969,20.33166667,2.62,36.51,290.04,0.03,0.41,4.58
AMMY3111121,-34.391,19.53383333,6.87,29.51,363.87,0.14,0.41,3.67
AMMY3111126,-34.3975,19.5105,6.87,29.51,363.87,0.14,0.41,3.67
AMMY3111137,-34.39933333,19.46133333,6.87,29.51,363.87,0.14,0.41,3.67
AMMY3120602,-34.302,19.02566667,10.17,24.48,474.61,0.22,0.42,3.61
PHA92021503,-34.1,18.99166667,6.06,33.55,506.25,0.19,0.45,3.49
AKS92061104,-34.38466667,19.32616667,6.87,29.51,363.87,0.14,0.41,3.67
PVR93062606,-34.26616667,18.44966667,10.17,24.48,474.61,0.22,0.42,3.61
PVR94031404,-34.02933333,18.88783333,6.06,33.55,506.25,0.19,0.45,3.49
WIJ94022405,-33.72333333,19.875,-1.1,36.98,622.27,0.15,0.55,3.74
WIJ94022406,-33.72083333,19.87833333,-1.1,36.98,622.27,0.15,0.55,3.74
AJT94052207,-34.11416667,18.4475,6.06,33.55,506.25,0.19,0.45,3.49
PVR94072803,-34.0935,18.448,6.06,33.55,506.25,0.19,0.45,3.49
AKS94090103,-33.709,19.1145,0.23,36.51,527.34,0.21,0.47,3.48
NSC94071807,-34.32166667,19.0075,10.17,24.48,474.61,0.22,0.42,3.61
AWA94100101,-33.89316667,22.5425,7.26,30.83,348.05,0.08,0.43,2.07
PVR95010603,-34.63816667,19.58683333,6.87,29.51,363.87,0.14,0.41,3.67
PVR95010802,-34.09316667,18.39716667,11.12,25.9,374.41,0.22,0.34,3.64
PVR95022301,-34.06316667,18.39233333,11.12,25.9,374.41,0.22,0.34,3.64
PVR95022302,-34.06516667,18.387,11.12,25.9,374.41,0.22,0.34,3.64
PVR95022306,-34.05183333,18.38616667,11.12,25.9,374.41,0.22,0.34,3.64
JAT94070601,-33.972,23.55316667,8.42,29.69,390.23,0.17,0.44,2.8
OUT95082605,-33.86216667,22.29683333,7.26,30.83,348.05,0.08,0.43,2.07
TLE95052801,-34.28783333,19.04216667,10.17,24.48,474.61,0.22,0.42,3.61
GEH96010103,-33.37333333,19.28133333,0.23,36.51,527.34,0.21,0.47,3.48
GEH96010106,-33.365,19.2705,0.23,36.51,527.34,0.21,0.47,3.48
AKS96013102,-34.07433333,18.38,11.12,25.9,374.41,0.22,0.34,3.64
JID96021501,-34.153,18.9215,6.06,33.55,506.25,0.19,0.45,3.49
OUT96031604,-33.86683333,22.47683333,7.26,30.83,348.05,0.08,0.43,2.07
OUT96031605,-33.868,22.4785,7.26,30.83,348.05,0.08,0.43,2.07
OUT96050304,-33.95916667,21.54566667,2.65,37.4,326.95,0.03,0.41,4.69
OUT96050305,-33.9505,21.54133333,2.65,37.4,326.95,0.03,0.41,4.69
JID96092107,-34.27566667,18.86166667,10.17,24.48,474.61,0.22,0.42,3.61
OUT96100504,-33.90433333,21.807,4.23,35.73,305.86,0.03,0.41,4.22
TLE96042103,-34.186,18.39516667,11.12,25.9,374.41,0.22,0.34,3.64
TLE96070608,-34.2175,18.4505,6.06,33.55,506.25,0.19,0.45,3.49
TLE96092906,-34.101,18.4365,11.12,25.9,374.41,0.22,0.34,3.64
TLE96092204,-34.3045,18.96983333,10.17,24.48,474.61,0.22,0.42,3.61
WIJ96092207,-34.3095,18.99683333,10.17,24.48,474.61,0.22,0.42,3.61
JAT96122903,-34.29016667,18.93766667,10.17,24.48,474.61,0.22,0.42,3.61
WIJ97030812,-33.94833333,20.90166667,2.62,36.51,290.04,0.03,0.41,4.58
WIJ97031507,-33.705,19.115,0.23,36.51,527.34,0.21,0.47,3.48
AWA97041001,-34.37766667,20.58,8.98,29.13,237.3,0.02,0.37,4.33
AWA97041003,-34.37383333,20.57066667,8.98,29.13,237.3,0.02,0.37,4.33
AWA97041004,-34.37216667,20.56666667,8.98,29.13,237.3,0.02,0.37,4.33
AWA97041007,-34.36916667,20.554,8.98,29.13,237.3,0.02,0.37,4.33
AWA97041008,-34.36883333,20.55016667,8.98,29.13,237.3,0.02,0.37,4.33
AWA97041009,-34.36883333,20.546,8.98,29.13,237.3,0.02,0.37,4.33
PVR97081509,-34.22766667,18.427,11.12,25.9,374.41,0.22,0.34,3.64
AWA97081402,-33.91216667,21.78116667,4.23,35.73,305.86,0.03,0.41,4.22
AWA97081403,-33.91533333,21.77933333,4.23,35.73,305.86,0.03,0.41,4.22
TLE97092201,-33.97166667,24.2745,6.64,35.12,427.15,0.16,0.44,2.84
JAT98020903,-33.97933333,23.60916667,8.42,29.69,390.23,0.17,0.44,2.8
OUT97062104,-33.85733333,22.2855,7.26,30.83,348.05,0.08,0.43,2.07
JID98042903,-34.18433333,18.94083333,6.06,33.55,506.25,0.19,0.45,3.49
JID98042908,-34.2235,18.8635,6.06,33.55,506.25,0.19,0.45,3.49
JID98042909,-34.20583333,18.85483333,6.06,33.55,506.25,0.19,0.45,3.49
JID98072501,-34.3905,19.35166667,6.87,29.51,363.87,0.14,0.41,3.67
TLE97042010,-34.00633333,19.00983333,6.06,33.55,506.25,0.19,0.45,3.49
TLE97042011,-34.011,19.00133333,6.06,33.55,506.25,0.19,0.45,3.49
BMJ98092504,-33.93066667,20.89833333,2.62,36.51,290.04,0.03,0.41,4.58
WIJY0022203,-34.23,18.89,6.06,33.55,506.25,0.19,0.45,3.49
WIJY0022204,-34.2275,18.88916667,6.06,33.55,506.25,0.19,0.45,3.49
WIJY0031102,-34.215,19.43083333,1.57,36.73,458.79,0.16,0.45,3.73
WIJY0050601,-34.21333333,19.48333333,1.57,36.73,458.79,0.16,0.45,3.73
OUTY0060405,-33.96666667,21.29183333,2.65,37.4,326.95,0.03,0.41,4.69
TLE97081704,-34.34316667,18.9325,10.17,24.48,474.61,0.22,0.42,3.61
TLE97081706,-34.33883333,18.94216667,10.17,24.48,474.61,0.22,0.42,3.61
TLE98062009,-34.22916667,18.45283333,6.06,33.55,506.25,0.19,0.45,3.49
PVRY0061902,-33.77166667,19.06,6.06,33.55,506.25,0.19,0.45,3.49
AMMY0101403,-33.963,21.263,2.65,37.4,326.95,0.03,0.41,4.69
AMMY0101405,-33.96816667,21.25516667,2.65,37.4,326.95,0.03,0.41,4.69
GEKY0101402,-33.96616667,21.2855,2.65,37.4,326.95,0.03,0.41,4.69
TLE99040402,-34.04933333,18.86883333,6.06,33.55,506.25,0.19,0.45,3.49
TLE99040410,-34.05133333,18.875,6.06,33.55,506.25,0.19,0.45,3.49
TLEY0121002,-34.10883333,18.4305,11.12,25.9,374.41,0.22,0.34,3.64
OUTY1011302,-33.99866667,21.4535,2.65,37.4,326.95,0.03,0.41,4.69
WIJY0121707,-34.23916667,18.93166667,6.06,33.55,506.25,0.19,0.45,3.49
TLE98041812,-34.3965,19.31716667,6.87,29.51,363.87,0.14,0.41,3.67
AMMY1013011,-33.941,21.5355,2.65,37.4,326.95,0.03,0.41,4.69
PMRY1032401,-33.964,19.25583333,1.57,36.73,458.79,0.16,0.45,3.73
SGAY1032201,-34.0825,19.85216667,1.82,38.84,427.15,0.1,0.43,4.03
MURY2022607,-34.24183333,18.46116667,6.06,33.55,506.25,0.19,0.45,3.49
AMMY2022304,-34.41583333,19.694,5.49,30.49,374.41,0.13,0.4,4.09
APE92072604,-33.51216667,19.10966667,0.23,36.51,527.34,0.21,0.47,3.48
APE93040304,-33.87166667,22.41583333,7.26,30.83,348.05,0.08,0.43,2.07
TLE93010209,-34.156,18.37016667,11.12,25.9,374.41,0.22,0.34,3.64
WIJ93051606,-34.01416667,19.59333333,1.57,36.73,458.79,0.16,0.45,3.73
AJT94052808,-33.98333333,18.38383333,11.12,25.9,374.41,0.22,0.34,3.64
AJT94052809,-33.98833333,18.37933333,11.12,25.9,374.41,0.22,0.34,3.64
WIJ94061206,-33.78333333,19.16666667,1.57,36.73,458.79,0.16,0.45,3.73
TLE94070702,-34.37633333,19.29283333,6.87,29.51,363.87,0.14,0.41,3.67
WIJ94091006,-34.21833333,18.42666667,11.12,25.9,374.41,0.22,0.34,3.64
TLE94082105,-33.97066667,18.39633333,11.12,25.9,374.41,0.22,0.34,3.64
JID95013101,-34.00233333,18.3725,11.12,25.9,374.41,0.22,0.34,3.64
JID95022701,-34.00183333,18.4075,11.12,25.9,374.41,0.22,0.34,3.64
TLE95043003,-33.95566667,18.4405,6.06,33.55,506.25,0.19,0.45,3.49
TLE95043004,-33.955,18.43533333,11.12,25.9,374.41,0.22,0.34,3.64
PVR95070204,-34.0775,18.392,11.12,25.9,374.41,0.22,0.34,3.64
PVR95080607,-34.32216667,19.00583333,10.17,24.48,474.61,0.22,0.42,3.61
TLE95091614,-33.9855,18.41733333,11.12,25.9,374.41,0.22,0.34,3.64
WIJ96072104,-34.11666667,18.43333333,11.12,25.9,374.41,0.22,0.34,3.64
PVR96111309,-33.92866667,18.98916667,6.06,33.55,506.25,0.19,0.45,3.49
TLE96070611,-34.225,18.45066667,6.06,33.55,506.25,0.19,0.45,3.49
TLE96070615,-34.2465,18.4675,6.06,33.55,506.25,0.19,0.45,3.49
TLE96092905,-34.0985,18.43616667,11.12,25.9,374.41,0.22,0.34,3.64
TLE96092208,-34.31733333,18.99983333,10.17,24.48,474.61,0.22,0.42,3.61
WIJ96092205,-34.30716667,18.97466667,10.17,24.48,474.61,0.22,0.42,3.61
WIJ96092208,-34.31433333,18.99983333,10.17,24.48,474.61,0.22,0.42,3.61
WIJ97030903,-33.93583333,20.90333333,2.62,36.51,290.04,0.03,0.41,4.58
WIJ97030907,-33.92833333,20.90316667,2.62,36.51,290.04,0.03,0.41,4.58
WIJ97030908,-33.92333333,20.88,2.62,36.51,290.04,0.03,0.41,4.58
PVR97081506,-34.22166667,18.428,11.12,25.9,374.41,0.22,0.34,3.64
TLE97092005,-33.84816667,23.66166667,8.42,29.69,390.23,0.17,0.44,2.8
AGR98012510,-33.99916667,18.41166667,11.12,25.9,374.41,0.22,0.34,3.64
WIJ98030806,-33.95416667,19.14833333,1.57,36.73,458.79,0.16,0.45,3.73
OUT97062102,-33.85816667,22.28766667,7.26,30.83,348.05,0.08,0.43,2.07
WIJ98051607,-33.965,21.19583333,2.65,37.4,326.95,0.03,0.41,4.69
WIJ98080207,-33.40666667,19.67,0.23,36.51,527.34,0.21,0.47,3.48
WIJ98050305,-33.78833333,19.11833333,1.57,36.73,458.79,0.16,0.45,3.73
TLE98092503,-33.93833333,20.8205,2.62,36.51,290.04,0.03,0.41,4.58
WIJ99021310,-34.39583333,19.27916667,6.87,29.51,363.87,0.14,0.41,3.67
WIJ99050104,-34.25416667,19.13333333,6.87,29.51,363.87,0.14,0.41,3.67
WIJ99073106,-34.225,18.4375,6.06,33.55,506.25,0.19,0.45,3.49
WIJ99073108,-34.22833333,18.45,6.06,33.55,506.25,0.19,0.45,3.49
WIJ99102302,-34.19583333,19.19,1.57,36.73,458.79,0.16,0.45,3.73
JID99102305,-34.19366667,19.186,1.57,36.73,458.79,0.16,0.45,3.73
PVRY0030105,-34.24633333,18.46883333,6.06,33.55,506.25,0.19,0.45,3.49
PVRY0030111,-34.2275,18.45566667,6.06,33.55,506.25,0.19,0.45,3.49
PVRY0030112,-34.22366667,18.4535,6.06,33.55,506.25,0.19,0.45,3.49
PVRY0030113,-34.21866667,18.45316667,6.06,33.55,506.25,0.19,0.45,3.49
WIJY0042802,-34.34583333,18.92666667,10.17,24.48,474.61,0.22,0.42,3.61
TLE98062011,-34.22683333,18.44166667,6.06,33.55,506.25,0.19,0.45,3.49
WIJY0072903,-34.1095,18.97383333,6.06,33.55,506.25,0.19,0.45,3.49
JIDY0072904,-34.1315,18.949,6.06,33.55,506.25,0.19,0.45,3.49
AMMY0101407,-33.9735,21.2645,2.65,37.4,326.95,0.03,0.41,4.69
AMMY0101408,-33.97583333,21.2705,2.65,37.4,326.95,0.03,0.41,4.69
JIDY0101404,-34.32933333,18.9225,10.17,24.48,474.61,0.22,0.42,3.61
TLEY1010603,-34.34466667,18.92816667,10.17,24.48,474.61,0.22,0.42,3.61
TLE97091307,-34.38533333,19.28483333,6.87,29.51,363.87,0.14,0.41,3.67
TLE99051604,-33.99683333,18.41016667,11.12,25.9,374.41,0.22,0.34,3.64
MHRY1032203,-34.10133333,19.86283333,1.82,38.84,427.15,0.1,0.43,4.03
APE93030601,-33.97966667,18.38816667,11.12,25.9,374.41,0.22,0.34,3.64
APE93030604,-33.9945,18.379,11.12,25.9,374.41,0.22,0.34,3.64
VMS93030601,-33.97766667,18.38916667,11.12,25.9,374.41,0.22,0.34,3.64
PVR94021101,-33.98466667,18.42233333,11.12,25.9,374.41,0.22,0.34,3.64
PVR94021102,-33.98316667,18.41966667,11.12,25.9,374.41,0.22,0.34,3.64
PVR94021602,-34.07533333,18.38833333,11.12,25.9,374.41,0.22,0.34,3.64
PVR94021603,-34.07283333,18.37966667,11.12,25.9,374.41,0.22,0.34,3.64
