,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
153,-33.84933333,21.98166667,4.23,35.73,305.86,0.03,0.41,4.22
154,-33.8895,22.4425,7.26,30.83,348.05,0.08,0.43,2.07
155,-33.94633333,21.10966667,2.65,37.4,326.95,0.03,0.41,4.69
156,-33.95466667,21.189,2.65,37.4,326.95,0.03,0.41,4.69
157,-33.87033333,22.267,7.26,30.83,348.05,0.08,0.43,2.07
158,-34.03516667,19.37366667,1.57,36.73,458.79,0.16,0.45,3.73
159,-34.016,19.65933333,1.57,36.73,458.79,0.16,0.45,3.73
160,-33.92,20.86133333,2.62,36.51,290.04,0.03,0.41,4.58
161,-33.87716667,22.311,7.26,30.83,348.05,0.08,0.43,2.07
162,-33.93966667,20.90116667,2.62,36.51,290.04,0.03,0.41,4.58
163,-33.88283333,21.94616667,4.23,35.73,305.86,0.03,0.41,4.22
164,-33.863,21.96183333,4.23,35.73,305.86,0.03,0.41,4.22
165,-33.923,20.8565,2.62,36.51,290.04,0.03,0.41,4.58
166,-33.95683333,21.19533333,2.65,37.4,326.95,0.03,0.41,4.69
167,-33.87383333,22.31166667,7.26,30.83,348.05,0.08,0.43,2.07
168,-33.95466667,21.1855,2.65,37.4,326.95,0.03,0.41,4.69
169,-33.92616667,20.85483333,2.62,36.51,290.04,0.03,0.41,4.58
170,-33.90166667,20.90166667,2.62,36.51,290.04,0.03,0.41,4.58
171,-33.94566667,20.38916667,2.62,36.51,290.04,0.03,0.41,4.58
172,-33.91066667,21.78466667,4.23,35.73,305.86,0.03,0.41,4.22
173,-33.71216667,19.88483333,-1.1,36.98,622.27,0.15,0.55,3.74
174,-33.95666667,19.29833333,1.57,36.73,458.79,0.16,0.45,3.73
175,-33.73566667,19.9865,-1.1,36.98,622.27,0.15,0.55,3.74
176,-33.732,19.97533333,-1.1,36.98,622.27,0.15,0.55,3.74
177,-33.732,19.98066667,-1.1,36.98,622.27,0.15,0.55,3.74
178,-33.74233333,19.99516667,-1.1,36.98,622.27,0.15,0.55,3.74
179,-33.94166667,20.6935,2.62,36.51,290.04,0.03,0.41,4.58
180,-33.92616667,22.01833333,4.23,35.73,305.86,0.03,0.41,4.22
181,-33.741,19.98433333,-1.1,36.98,622.27,0.15,0.55,3.74
