OBS,Latitude,Longitude
AGRY0082703,33.7545,20.01016667
APE92091603,33.741,19.98516667
ASP93012016,34.01183333,19.60916667
PINY1032101,33.9765,19.48966667
SHRY1020113,33.89633333,20.23283333
AKS93050107,33.94733333,21.1365
AGRY0090705,34.06583333,19.74033333
AMMY0090705,34.07083333,19.7285
LKAY0032008,33.92883333,20.85916667
APE92091604,33.73516667,19.9865
OUT97090605,33.88216667,22.43116667
AGRY0090708,34.07633333,19.78916667
AGRY3100113,33.83466667,21.892
SHRY1020111,33.90083333,20.23866667
AGRY2081106,33.88283333,22.44083333
AMMY0090708,34.07883333,19.78566667
SHRY1020112,33.89916667,20.2345
DOA95020801,33.8815,22.43816667
DOAY0121201,34.07833333,19.77583333
WMS94083101,34.071,19.78933333
DOA95020802,33.88333333,22.429
IEBY0090703,34.06866667,19.72
APE93013101,34.05816667,18.8725
CVV95043007,34.42916667,19.63666667
WEL98110802,34.05683333,18.86933333
WEL98110821,34.054,18.8725
SMRY0032906,34.53916667,19.51583333
HEL95091908,33.97083333,18.92533333
AGR91111902,33.984,18.435
DJL98102102,34.296,19.12533333
APE99030701,34.05583333,18.8705
GYC93102207,34.05633333,18.87633333
GED99061609,34.07033333,19.7215
CJL99030702,34.05133333,18.8735
PVR93053105,33.944,18.44433333
AGR97021602,34.31716667,18.96333333
AGR97072005,33.95533333,18.42266667
WEL99062501,34.31983333,18.9645
AWA99100403,32.8565,19.21966667
AGRY0031202,34.05366667,18.87566667
AGRY0051402,34.00083333,18.42166667
AGR95102901,34.31983333,18.9645
WEL96031709,34.42833333,19.635
WEL96031711,34.4315,19.6225
GYC94070809,34.05683333,18.871
WIJ94090403,34.055,18.87333333
AGR98022413,34.03733333,19.6135
SMR96080701,34.06616667,19.04633333
GYC94052603,34.05,18.87466667
AGR92022101,33.913,19.14416667
AJT94040205,33.93366667,18.39483333
AGR96041701,33.922,19.09466667
WIJ93121802,33.925,18.39666667
AGR96011403,33.98333333,18.43433333
GYC94052602,34.05,18.87583333
WIJ98050205,33.77,19.15166667
GYC94052604,34.04866667,18.87583333
AGR91120709,34.43066667,19.6445
APE93021421,34.22,19.42916667
AGR91122603,34.05233333,19.03816667
APE92080909,34.2675,19.02483333
AGR96022802,33.96583333,18.79683333
PDT97031202,33.7685,18.947
LYM99030405,33.1955,19.16283333
WIJ94090402,34.05833333,18.87666667
GYC94070805,34.05133333,18.8705
