,latitude,longitude,july_min,jan_max,prec,evap,soil,wind
215,-34.36916667,20.554,8.98,29.13,237.3,0.02,0.37,4.33
216,-34.36883333,20.55016667,8.98,29.13,237.3,0.02,0.37,4.33
217,-34.36883333,20.546,8.98,29.13,237.3,0.02,0.37,4.33
218,-34.22766667,18.427,11.12,25.9,374.41,0.22,0.34,3.64
219,-33.91216667,21.78116667,4.23,35.73,305.86,0.03,0.41,4.22
220,-33.91533333,21.77933333,4.23,35.73,305.86,0.03,0.41,4.22
221,-33.97166667,24.2745,6.64,35.12,427.15,0.16,0.44,2.84
222,-33.97933333,23.60916667,8.42,29.69,390.23,0.17,0.44,2.8
223,-33.85733333,22.2855,7.26,30.83,348.05,0.08,0.43,2.07
224,-34.18433333,18.94083333,6.06,33.55,506.25,0.19,0.45,3.49
225,-34.2235,18.8635,6.06,33.55,506.25,0.19,0.45,3.49
226,-34.20583333,18.85483333,6.06,33.55,506.25,0.19,0.45,3.49
227,-34.3905,19.35166667,6.87,29.51,363.87,0.14,0.41,3.67
228,-34.00633333,19.00983333,6.06,33.55,506.25,0.19,0.45,3.49
229,-34.011,19.00133333,6.06,33.55,506.25,0.19,0.45,3.49
230,-33.93066667,20.89833333,2.62,36.51,290.04,0.03,0.41,4.58
231,-34.23,18.89,6.06,33.55,506.25,0.19,0.45,3.49
232,-34.2275,18.88916667,6.06,33.55,506.25,0.19,0.45,3.49
233,-34.215,19.43083333,1.57,36.73,458.79,0.16,0.45,3.73
234,-34.21333333,19.48333333,1.57,36.73,458.79,0.16,0.45,3.73
235,-33.96666667,21.29183333,2.65,37.4,326.95,0.03,0.41,4.69
236,-34.34316667,18.9325,10.17,24.48,474.61,0.22,0.42,3.61
237,-34.33883333,18.94216667,10.17,24.48,474.61,0.22,0.42,3.61
238,-34.22916667,18.45283333,6.06,33.55,506.25,0.19,0.45,3.49
239,-33.77166667,19.06,6.06,33.55,506.25,0.19,0.45,3.49
240,-33.963,21.263,2.65,37.4,326.95,0.03,0.41,4.69
241,-33.96816667,21.25516667,2.65,37.4,326.95,0.03,0.41,4.69
242,-33.96616667,21.2855,2.65,37.4,326.95,0.03,0.41,4.69
243,-34.04933333,18.86883333,6.06,33.55,506.25,0.19,0.45,3.49
244,-34.05133333,18.875,6.06,33.55,506.25,0.19,0.45,3.49
245,-34.10883333,18.4305,11.12,25.9,374.41,0.22,0.34,3.64
246,-33.99866667,21.4535,2.65,37.4,326.95,0.03,0.41,4.69
247,-34.23916667,18.93166667,6.06,33.55,506.25,0.19,0.45,3.49
248,-34.3965,19.31716667,6.87,29.51,363.87,0.14,0.41,3.67
249,-33.941,21.5355,2.65,37.4,326.95,0.03,0.41,4.69
250,-33.964,19.25583333,1.57,36.73,458.79,0.16,0.45,3.73
251,-34.0825,19.85216667,1.82,38.84,427.15,0.1,0.43,4.03
252,-34.24183333,18.46116667,6.06,33.55,506.25,0.19,0.45,3.49
253,-34.41583333,19.694,5.49,30.49,374.41,0.13,0.4,4.09
254,-33.51216667,19.10966667,0.23,36.51,527.34,0.21,0.47,3.48
255,-33.87166667,22.41583333,7.26,30.83,348.05,0.08,0.43,2.07
256,-34.156,18.37016667,11.12,25.9,374.41,0.22,0.34,3.64
257,-34.01416667,19.59333333,1.57,36.73,458.79,0.16,0.45,3.73
258,-33.98333333,18.38383333,11.12,25.9,374.41,0.22,0.34,3.64
259,-33.98833333,18.37933333,11.12,25.9,374.41,0.22,0.34,3.64
260,-33.78333333,19.16666667,1.57,36.73,458.79,0.16,0.45,3.73
261,-34.37633333,19.29283333,6.87,29.51,363.87,0.14,0.41,3.67
262,-34.21833333,18.42666667,11.12,25.9,374.41,0.22,0.34,3.64
