Obs,Latitude,Longitude
AGR97121411,-34.077,20.135
AGR98020406,-33.69733333,19.071
AGR98022401,-34.02933333,19.56133333
IVM98020402,-33.74766667,19.06983333
IVM98020404,-33.72483333,19.07416667
IVM98020405,-33.70983333,19.0715
WMP98030101,-34.429,20.70816667
AGR98032504,-33.35783333,19.10316667
AGR98020815,-34.3495,18.93016667
IVM98030101,-34.43033333,20.67583333
IVM98022609,-33.13383333,18.25866667
AGR98021501,-34.263,18.45916667
IVM98040606,-33.53783333,20.5955
STU98030101,-34.34766667,18.83333333
STU98030102,-34.35166667,18.845
STU98030202,-34.28816667,18.825
WEL98102502,-34.331,19.308
AGR98120501,-32.504,18.83433333
EAH99010503,-32.318,18.786
AGR99020608,-33.7735,19.04783333
AGR99032203,-33.9085,18.78066667
APE99030701,-34.05583333,18.8705
WEL99012710,-33.545,19.165
AGRY0010203,-33.73833333,19.1145
AGRY0011337,-34.447,19.61016667
AGRY0011338,-34.443,19.61616667
AGRY0011402,-34.43566667,19.56716667
AGRY0011404,-34.43966667,19.57333333
AGRY0011604,-33.98966667,18.4245
AGRY0012404,-33.56983333,18.58916667
MCGY0011306,-34.06016667,24.57016667
SHRY0012501,-32.15933333,19.0375
AGRY0021305,-34.00566667,18.35583333
AGRY0021313,-33.99916667,18.36666667
AGRY0030106,-32.96533333,19.04366667
AGRY0030114,-32.93783333,19.06766667
AGRY0030908,-33.42066667,19.69716667
AGRY0030914,-33.475,19.52633333
AGRY0030916,-33.50133333,19.529
MCGY0021901,-34.15,18.43516667
OUTY0051304,-33.81933333,22.315
AGRY0122819,-33.6365,24.76083333
GEDY0112308,-33.03416667,19.40866667
AGRY0122808,-33.84316667,24.91233333
AGRY1031101,-33.764,19.04783333
AGRY1030722,-34.0365,21.3995
AGRY1022810,-34.56216667,19.851
AGRY1022011,-33.44733333,19.22633333
AGRY1022511,-32.34466667,19.2145
AGRY2022106,-34.56266667,19.51766667
AGRY4031117,-33.55233333,19.164
AGRY3103132,-33.97383333,20.3635
AGRY4110609,-33.07516667,19.2725
DOA93012103,-33.42066667,22.86933333
VJK93020702,-33.93783333,20.70816667
WIJ93020502,-34.03666667,19.61166667
WIJ93020703,-34.045,19.63416667
DOA94011806,-33.43966667,21.03333333
DOA94020101,-33.841,21.85483333
DOA94020103,-33.84283333,21.85966667
DOA94030101,-33.682,22.76566667
DOA94030114,-33.65183333,22.66883333
ROO94122903,-33.60783333,21.44416667
ROO95011905,-33.455,21.32583333
TOW95013002,-33.44766667,21.33383333
ROO95020802,-33.44733333,21.36666667
NHE95011301,-34.4325,20.7355
RDF96030303,-34.00383333,20.98016667
AWA96032504,-33.76116667,23.143
LYM96032102,-33.63566667,19.107
DOA96031701,-33.995,20.443
SMR97011604,-33.86133333,19.14466667
SMR97011607,-33.85366667,19.14566667
SMR97012905,-33.23016667,18.26233333
CHE97012904,-33.2325,18.2675
LYM97011602,-33.841,19.11233333
LYM97011604,-33.854,19.137
SMR97022002,-34.26483333,19.2575
DOA97022608,-33.716,23.18716667
DOA97030107,-34.059,23.007
LYM97032106,-32.21116667,19.08733333
DOA97031802,-33.74283333,24.2795
DOA97031809,-33.70816667,24.2855
DOA97031810,-33.71166667,24.28333333
DOA97031812,-33.71983333,24.2795
DOA97031814,-33.72516667,24.2575
DOA97031815,-33.7275,24.24566667
DOA97031816,-33.71666667,24.214
DOA97032006,-33.65266667,24.49833333
RDF97012602,-33.72283333,21.93583333
RDF97031605,-33.52516667,20.50566667
COH96111703,-32.759,18.77683333
NGF97113011,-34.61983333,19.94616667
LYM97113011,-34.577,19.9445
BMJ97112203,-33.6275,25.008
CSS97113011,-34.61033333,19.95916667
LYM98011801,-33.678,19.05916667
LYM98012202,-34.27433333,18.84133333
LYM98012203,-34.30533333,18.82533333
DJL98020403,-33.73983333,19.0725
DJL98020404,-33.728,19.07533333
DJL98021601,-34.14633333,18.38733333
IVM98022618,-33.53866667,18.50266667
IVM98030106,-34.42633333,20.765
IVM98032103,-33.71933333,21.79516667
GAC97022604,-33.7185,23.19466667
VCH98051406,-33.45183333,19.056
LYM98101904,-34.05266667,18.86983333
VCH98122901,-33.5275,19.14616667
VCH98122703,-33.54866667,19.142
IEB98121708,-33.23066667,19.558
IEB98121710,-33.28733333,19.46133333
FRI98121701,-33.382,19.4935
FRI98121705,-33.25233333,19.58116667
AWA99031101,-33.85683333,22.01416667
VCH99012708,-33.543,19.18016667
DJL99022503,-33.7235,19.15916667
DJL99022505,-33.70133333,19.20433333
DJL99022508,-33.69866667,19.19733333
DJL99022510,-33.71483333,19.19783333
DOA99022301,-34.495,19.90383333
DOA99030204,-34.7,19.76416667
DOA99030205,-34.691,19.76516667
DOA99030304,-34.0315,19.514
VCH99022511,-33.7235,19.1785
VCH99022513,-33.72966667,19.07683333
LYM99022504,-33.72383333,19.16933333
DJL99030403,-33.26933333,19.06583333
VCH99042102,-34.29533333,18.43166667
VCH99042106,-34.157,18.347
NAK99031601,-34.33416667,18.45616667
CJL98122701,-34.27616667,18.83283333
DOA99031601,-34.36616667,19.1275
NGFY0010107,-34.146,18.343
ASKY0020301,-34.236,18.41216667
PMRY0011201,-34.42933333,19.6435
NGFY0021407,-34.33966667,21.0375
LMWY0021801,-34.10816667,18.40316667
LMWY0022201,-34.11083333,18.41183333
LDVY0020901,-34.15183333,18.435
DOAY1020505,-34.03016667,20.48716667
AGR91120814,-34.37566667,19.139
WIJ92053002,-34.15666667,18.91166667
OGM92122803,-33.04033333,19.05666667
OGM92122804,-33.02466667,19.05166667
ASP93012407,-33.93866667,19.51783333
DOA94020109,-33.84316667,21.85633333
ASP94111513,-33.6135,19.30916667
TOW94111401,-33.44016667,21.54616667
ASP94120331,-34.16583333,19.54433333
SHR94122301,-34.431,19.50433333
SHS95080306,-33.81533333,21.86883333
SHS95083103,-33.7935,21.9275
SHS95101905,-33.80666667,21.93333333
SHS95101906,-33.80583333,21.92833333
DFJ96031703,-33.60333333,25.24666667
NGF96032107,-33.66933333,19.1395
LYM96041705,-33.91533333,19.10166667
SHS96012302,-33.952,22.0285
DJL97011612,-33.81983333,19.11633333
NAH97011002,-33.46566667,23.5075
AGR96120402,-34.4695,19.8055
SMR97011611,-33.8185,19.11083333
LYM97012601,-34.10766667,18.42683333
SMR96120410,-34.4415,19.56666667
NGF97030114,-34.2585,18.466
CHE97022004,-34.28333333,19.2405
CHE97022008,-34.25266667,19.28466667
NGF97032004,-32.122,19.01066667
RDF97031501,-33.5355,20.56666667
LYM97112603,-33.56183333,18.69683333
LYM97112907,-34.427,19.55716667
LYM97112912,-34.47566667,19.66016667
DOA97111715,-33.33866667,22.33116667
AGR97122013,-34.37933333,20.549
SMR98012803,-34.21583333,19.18283333
SMR98020403,-33.74433333,19.071
SMR98020404,-33.73066667,19.07866667
IVM98032202,-33.71266667,21.77533333
IVM98030110,-34.44683333,20.79616667
WMP98040408,-33.80716667,22.09083333
KBR98053003,-33.66466667,23.13366667
WMP98120604,-32.3775,18.83233333
FRI98121703,-33.36033333,19.54516667
NGF99022802,-34.03533333,18.32566667
NGF99022806,-34.0295,18.33616667
AGR99031412,-34.0595,18.39683333
KEH99012701,-33.64483333,19.0725
KEH99012704,-33.64633333,19.086
DJL99040805,-34.35083333,19.4575
WEL99012704,-33.64733333,19.09616667
FRI99050602,-32.591,18.92683333
NAH99051002,-33.87883333,21.70166667
DJL99051208,-33.78783333,19.449
VCH98041003,-33.55,19.14216667
VCH98041101,-33.54683333,19.15
VCH99120802,-33.9505,18.44133333
SHRY0012504,-32.15233333,19.03166667
LYMY0021505,-33.409,22.73983333
DJLY0032904,-34.52483333,19.51583333
IEBY0032907,-34.55283333,19.50216667
DOAY0112910,-34.07833333,19.58333333
DOAY0121006,-34.07933333,19.40533333
DOAY0121008,-34.06266667,19.42316667
DOAY0121014,-34.0635,19.428
WELY0060407,-33.36133333,22.07633333
WELY0060408,-33.36133333,22.071
AGRY1011003,-34.196,22.09883333
MCGY1012701,-33.6235,24.49033333
MCGY1012705,-33.61633333,24.49966667
DOAY1020707,-34.37033333,20.63283333
SHRY0122810,-33.64766667,24.80533333
AGRY1032205,-34.10533333,19.835
WMPY1012106,-34.38866667,20.6925
WMPY1020304,-33.05,19.0865
WMPY1020403,-33.03966667,19.12416667
SMRY3022604,-34.02166667,18.93983333
AGRY3112622,-32.84933333,19.13816667
AGRY3112627,-32.8325,19.1295
PVR92091604,-34.18116667,18.3795
WJR96080401,-33.73666667,25.21166667
WIJ92112804,-34.20666667,18.83166667
AGR92042503,-34.146,18.42833333
KCK92101801,-34.13833333,18.42133333
SHS94012404,-33.80766667,22.09683333
ASP94111512,-33.61733333,19.308
ROO95011901,-33.43516667,21.3225
SHS95080304,-33.82516667,21.872
SHS95101001,-33.82383333,22.09466667
SHS95101004,-33.82033333,22.099
SHS95101006,-33.81933333,22.10383333
RDF95101501,-33.63033333,22.5875
LYM96040501,-34.22116667,18.836
HCE96042704,-33.42033333,19.04733333
HRK96041001,-34.00183333,23.94833333
CNR96031103,-34.22666667,18.40333333
SHS96012304,-33.95716667,22.03066667
NGW96122101,-32.68066667,18.48433333
LYM96122701,-34.2635,18.45966667
DJL97011602,-33.83783333,19.10883333
NAH97011001,-33.46933333,23.50266667
SHS95032703,-33.96483333,23.38283333
SMR96120403,-34.46466667,19.83333333
SMR97011605,-33.86133333,19.16183333
SMR97011610,-33.82483333,19.12316667
AGR97020209,-34.036,18.332
NGF97032106,-32.20883333,19.09116667
LYM97032110,-32.24733333,19.13716667
SMR97031905,-33.61133333,18.82783333
SMR97031907,-33.60083333,18.82183333
LYM97102506,-34.059,20.0245
LYM97113004,-34.68866667,19.8765
DOA97122906,-34.069,23.26666667
SHR97122901,-34.27683333,18.8355
SMR98011501,-34.26533333,18.46016667
LYM98030503,-34.30266667,19.45516667
CVV98020808,-34.32666667,18.445
IVM98022808,-34.427,20.6415
NAH98041401,-33.55316667,19.2075
